惟有饮者留其名	陈王昔时宴平乐
陈王昔时宴平乐	斗酒十千恣欢谑
斗酒十千恣欢谑	主人何为言少钱
主人何为言少钱	径须沽取对君酌
径须沽取对君酌	五花马
五花马	千金裘
千金裘	呼儿将出换美酒
呼儿将出换美酒	与尔同销万古愁
日本晁卿辞帝都	征帆一片绕蓬壶
征帆一片绕蓬壶	明月不归沉碧海
明月不归沉碧海	白云愁色满苍梧
日照香炉生紫烟	遥看瀑布挂前川
遥看瀑布挂前川	飞流直下三千尺
飞流直下三千尺	疑是银河落九天
白发三千丈	缘愁似个长
缘愁似个长	不知明镜里
不知明镜里	何处得秋霜
危楼高百尺	手可摘星辰
手可摘星辰	不敢高声语
不敢高声语	恐惊天上人
流落征南将	曾驱十万师
曾驱十万师	罢归无旧业
罢归无旧业	老去恋明时
老去恋明时	独立三边静
独立三边静	轻生一剑知
轻生一剑知	茫茫江汉上
茫茫江汉上	日暮欲何之
望君烟水阔	挥手泪沾巾
挥手泪沾巾	飞鸟没何处
飞鸟没何处	青山空向人
青山空向人	长江一帆远
长江一帆远	落日五湖春
落日五湖春	谁见汀洲上
谁见汀洲上	相思愁白苹
一路经行处	莓苔见屐痕
莓苔见屐痕	白云依静渚
白云依静渚	芳草闭闲门
芳草闭闲门	过雨看松色
过雨看松色	随山到水源
随山到水源	溪花与禅意
溪花与禅意	相对亦忘言
三年谪宦此栖迟	万古惟留楚客悲
万古惟留楚客悲	秋草独寻人去后
秋草独寻人去后	寒林空见日斜时
寒林空见日斜时	汉文有道恩犹薄
汉文有道恩犹薄	湘水无情吊岂知
湘水无情吊岂知	寂寂江山摇落处
寂寂江山摇落处	怜君何事到天涯
苍苍竹林寺	杳杳钟声晚
杳杳钟声晚	荷笠带斜阳
荷笠带斜阳	青山独归远
泠泠七弦上	静听松风寒
静听松风寒	古调虽自爱
古调虽自爱	今人多不弹
孤云将野鹤	岂向人间住
岂向人间住	莫买沃洲山
莫买沃洲山	时人已知处
日暮苍山远	天寒白屋贫
天寒白屋贫	柴门闻犬吠
柴门闻犬吠	风雪夜归人
昔有佳人公孙氏	一舞剑器动四方
一舞剑器动四方	观者如山色沮丧
观者如山色沮丧	天地为之久低昂
天地为之久低昂	霍如羿射九日落
霍如羿射九日落	矫如群帝骖龙翔
矫如群帝骖龙翔	来如雷霆收震怒
来如雷霆收震怒	罢如江海凝清光
罢如江海凝清光	绛唇珠袖两寂寞
绛唇珠袖两寂寞	晚有弟子传芬芳
晚有弟子传芬芳	临颍美人在白帝
临颍美人在白帝	妙舞此曲神扬扬
妙舞此曲神扬扬	与余问答既有以
与余问答既有以	感时抚事增惋伤
感时抚事增惋伤	先帝侍女八千人
先帝侍女八千人	公孙剑器初第一
公孙剑器初第一	五十年间似反掌
五十年间似反掌	风尘澒洞昏王室
风尘澒洞昏王室	梨园子弟散如烟
梨园子弟散如烟	女乐余姿映寒日
女乐余姿映寒日	金粟堆南木已拱
金粟堆南木已拱	瞿塘石城草萧瑟
瞿塘石城草萧瑟	玳弦急管曲复终
玳弦急管曲复终	乐极哀来月东出
乐极哀来月东出	老夫不知其所往
老夫不知其所往	足茧荒山转愁疾
西山白雪三城戍	南浦清江万里桥
南浦清江万里桥	海内风尘诸弟隔
海内风尘诸弟隔	天涯涕泪一身遥
天涯涕泪一身遥	惟将迟暮供多病
惟将迟暮供多病	未有涓埃答圣朝
未有涓埃答圣朝	跨马出郊时极目
跨马出郊时极目	不堪人事日萧条
剑外忽传收蓟北	初闻涕泪满衣裳
初闻涕泪满衣裳	却看妻子愁何在
却看妻子愁何在	漫卷诗书喜欲狂
漫卷诗书喜欲狂	白日放歌须纵酒
白日放歌须纵酒	青春作伴好还乡
青春作伴好还乡	即从巴峡穿巫峡
即从巴峡穿巫峡	便下襄阳向洛阳
清秋幕府井梧寒	独宿江城蜡炬残
独宿江城蜡炬残	永夜角声悲自语
永夜角声悲自语	中天月色好谁看
中天月色好谁看	风尘荏苒音书绝
风尘荏苒音书绝	关塞萧条行路难
关塞萧条行路难	已忍伶俜十年事
已忍伶俜十年事	强移栖息一枝安
功盖三分国	名成八阵图
名成八阵图	江流石不转
江流石不转	遗恨失吞吴
锦城丝管日纷纷	半入江风半入云
半入江风半入云	此曲只应天上有
此曲只应天上有	人间能得几回闻
联步趋丹陛	分曹限紫微
分曹限紫微	晓随天仗入
晓随天仗入	暮惹御香归
暮惹御香归	白发悲花落
白发悲花落	青云羡鸟飞
青云羡鸟飞	圣朝无阙事
圣朝无阙事	自觉谏书稀
鸡鸣紫陌曙光寒	莺啭皇州春色阑
莺啭皇州春色阑	金阙晓钟开万户
金阙晓钟开万户	玉阶仙仗拥千官
玉阶仙仗拥千官	花迎剑佩星初落
花迎剑佩星初落	柳拂旌旗露未干
柳拂旌旗露未干	独有凤凰池上客
独有凤凰池上客	阳春一曲和皆难
故园东望路漫漫	双袖龙钟泪不干
双袖龙钟泪不干	马上相逢无纸笔
马上相逢无纸笔	凭君传语报平安
今朝郡斋冷	忽念山中客
忽念山中客	涧底束荆薪
涧底束荆薪	归来煮白石
